
=== OneRoom  lagrange_mult=0.001  (20260802_232246) ===
215000-220000   0.2981          5    
220000-225000   0.5850          5    
225000-230000   0.3113          5    
230000-235000   0.2326          5    
235000-240000   0.3189          5    
240000-245000   0.2268          5    
245000-250000   0.3808          5    
250000-255000   0.2465          5    
255000-260000   0.2093          5    
260000-265000   0.3094          5    
265000-270000   0.2140          5    
270000-275000   0.2545          5    
275000-280000   0.2959          5    
280000-285000   0.2990          5    
285000-290000   0.2913          5    
290000-295000   0.2871          5    
295000-300000   0.1772          5    

=== TwoRoom  lagrange_mult=0.03  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4569          6    
  5000-10000    0.4493          5    
 10000-15000    0.4418          5    
 15000-20000    0.4150          5    
 20000-25000    0.3994          5    
 25000-30000    0.3740          5    
 30000-35000    0.3670          5    
 35000-40000    0.3483          5    
 40000-45000    0.3301          5    
 45000-50000    0.3507          5    
 50000-55000    0.3616          5    
 55000-60000    0.3037          5    
 60000-65000    0.3624          5    
 65000-70000    0.3188          5    
 70000-75000    0.3017          5    
 75000-80000    0.3610          5    
 80000-85000    0.3140          5    
 85000-90000    0.2871          5    
 90000-95000    0.3103          5    
 95000-100000   0.4281          5    
100000-105000   0.2805          5    
105000-110000   0.3617          5    
110000-115000   0.2894          5    
115000-120000   0.4367          5    
120000-125000   0.3181          5    
125000-130000   0.3237          5    
130000-135000   0.3267          5    
135000-140000   0.3112          5    
140000-145000   0.3824          5    
145000-150000   0.3158          5    
150000-155000   0.2549          5    
155000-160000   0.2819          5    
160000-165000   0.2235          5    
165000-170000   0.2654          5    
170000-175000   0.2964          5    
175000-180000   0.3253          5    
180000-185000   0.2500          5    
185000-190000   0.3212          5    
190000-195000   0.3130          5    
195000-200000   0.2632          5    
200000-205000   0.3213          5    
205000-210000   0.2672          5    
210000-215000   0.3338          5    
215000-220000   0.3036          5    
220000-225000   0.3052          5    
225000-230000   0.2680          5    
230000-235000   0.3191          5    
235000-240000   0.6483          5    
240000-245000   0.2662          5    
245000-250000   0.2964          5    
250000-255000   0.3206          5    
255000-260000   0.2889          5    
260000-265000   0.1784          5    
265000-270000   0.3108          5    
270000-275000   0.1844          5    
275000-280000   0.2367          5    
